Id_sensora,Id_stacji,longitude,latitude,parametr,wartosc,data_pomiaru
2411,361,15.228667,52.738214,CO,1425.53,2024-01-28_21:00:00
2416,361,15.228667,52.738214,NO2,26.2406,2024-01-28_21:00:00
2668,387,15.518861,51.939783,SO2,4.29738,2024-01-28_21:00:00
14428,387,15.518861,51.939783,PM10,29.1055,2024-01-28_20:00:00
2664,387,15.518861,51.939783,PM2.5,12.4556,2024-01-28_20:00:00
2647,387,15.518861,51.939783,C6H6,1.17563,2024-01-28_21:00:00
2649,387,15.518861,51.939783,CO,586.47,2024-01-28_21:00:00
2657,387,15.518861,51.939783,NO2,15.4745,2024-01-28_21:00:00
2510,374,15.206667,52.172222,SO2,2.57585,2024-01-28_21:00:00
2566,379,16.317500,51.799722,SO2,4.50501,2024-01-28_21:00:00
2563,379,16.317500,51.799722,PM10,37.5402,2024-01-28_21:00:00
19721,379,16.317500,51.799722,PM2.5,26.1666,2024-01-28_21:00:00
2601,382,15.127808,51.642656,SO2,7.41032,2024-01-28_21:00:00
14618,382,15.127808,51.642656,PM10,23.45,2024-01-28_20:00:00
20221,382,15.127808,51.642656,PM2.5,10.8167,2024-01-28_20:00:00
14619,382,15.127808,51.642656,C6H6,4.9707,2024-01-28_21:00:00
2589,382,15.127808,51.642656,CO,382.09,2024-01-28_21:00:00
2594,382,15.127808,51.642656,NO2,15.8842,2024-01-28_21:00:00
1409,206,18.666103,53.028647,SO2,1.5,2024-01-28_21:00:00
1405,206,18.666103,53.028647,PM10,9.2,2024-01-28_21:00:00
21264,9791,19.044486,52.637394,SO2,2.5,2024-01-28_21:00:00
20302,9791,19.044486,52.637394,PM10,10.3,2024-01-28_21:00:00
1650,232,17.934017,53.662117,SO2,0.0,2024-01-27_23:00:00
26305,11336,16.211672,54.194114,SO2,0.5,2024-01-28_21:00:00
6218,961,14.382245,53.122325,SO2,5.02203,2024-01-28_21:00:00
6324,983,16.704556,53.698902,SO2,3.53458,2024-01-28_21:00:00
6322,983,16.704556,53.698902,PM10,22.4388,2024-01-28_21:00:00
